memory_cap_gib,stripe_degree,depth_span,chunk_rows,worker_count,pod_count,workers_per_pod,estimated_max_static_bytes,estimated_routed_expert_weight_bytes,expert_allocation_overhead_factor,estimated_max_peak_bytes,estimated_max_peak_gib,largest_expert_fraction,largest_layer_fraction_estimate,capacity_valid,invalid_reason,one_worker_per_machine,machines_per_worker,same_host_collective,candidate_exactly_materialized,capacity_search_winner
1,16,1,1,1488,93,16,1209284073,982646784,1.0137388288648792,1364131886,1.2704468201845884,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,1,2,1488,93,16,1209284073,982646784,1.0137388288648792,1364488382,1.2707788329571486,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,1,4,1488,93,16,1209284073,982646784,1.0137388288648792,1365201372,1.2714428566396236,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,2,1,752,47,16,2271753369,1965293568,1.0137388288648792,2564115987,2.388019102625549,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,2,2,752,47,16,2271753369,1965293568,1.0137388288648792,2564502015,2.3883786192163825,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,2,4,752,47,16,2271753369,1965293568,1.0137388288648792,2565274070,2.3890976514667273,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,4,1,384,24,16,4370192139,3930587136,1.0137388288648792,4943792123,4.604265208356082,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,4,2,384,24,16,4370192139,3930587136,1.0137388288648792,4944237215,4.604679732583463,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,4,4,384,24,16,4370192139,3930587136,1.0137388288648792,4945127398,4.605508780106902,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,8,1,192,12,16,8593582294,7861174272,1.0137388288648792,9538811961,8.883710914291441,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,8,2,192,12,16,8593582294,7861174272,1.0137388288648792,9539375182,8.884235454723239,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,16,8,4,192,12,16,8593582294,7861174272,1.0137388288648792,9540501623,8.885284534655511,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,1,1,2976,93,32,604642037,491323392,1.0137388288648792,699688317,0.6516355248168111,0.03125,0.03125,True,,True,1,False,False,True
1,32,1,2,2976,93,32,604642037,491323392,1.0137388288648792,700028991,0.6519528022035956,0.03125,0.03125,True,,True,1,False,False,
1,32,1,4,2976,93,32,604642037,491323392,1.0137388288648792,700710341,0.6525873588398099,0.03125,0.03125,True,,True,1,False,False,
1,32,2,1,1504,47,32,1135876685,982646784,1.0137388288648792,1282707702,1.194614639505744,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,2,2,1504,47,32,1135876685,982646784,1.0137388288648792,1283077909,1.1949594216421247,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,2,4,1504,47,32,1135876685,982646784,1.0137388288648792,1283818322,1.1956489849835634,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,4,1,768,24,32,2185096070,1965293568,1.0137388288648792,2477907966,2.3077316265553236,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,4,2,768,24,32,2185096070,1965293568,1.0137388288648792,2478337237,2.3081314163282514,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,4,4,768,24,32,2185096070,1965293568,1.0137388288648792,2479195779,2.308930995874107,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,8,1,384,12,32,4296791147,3930587136,1.0137388288648792,4873601514,4.538895109668374,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,8,2,384,12,32,4296791147,3930587136,1.0137388288648792,4874148914,4.539404915645719,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
1,32,8,4,384,12,32,4296791147,3930587136,1.0137388288648792,4875243713,4.540424526669085,0.03125,0.03125,False,estimated_worker_peak_exceeds_cap,True,1,False,False,
